company_id,id_x,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,profit_margin,id_y,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,debt_to_equity,id,operating_activity,investing_activity,financing_activity,net_cash_flow,free_cash_flow,profit_score,leverage_score,cash_score,health_score,health_label
HINDALCO,612.0,140402.3076923077,3868.5384615384614,124360.07692307692,16042.23076923077,11.076923076923077,996.7692307692307,5270.7692307692305,7899.615384615385,39.75,5533.7692307692305,25.307692307692307,2.0833333333333335,3.4481268193890466,699.0,216.23076923076923,63818.61538461538,61825.38461538462,48937.153846153844,174797.3076923077,87885.53846153847,11612.923076923076,13692.076923076924,61606.61538461538,174797.3076923077,1.1236078059402814,578.5,12950.416666666666,-7757.833333333333,-4434.666666666667,757.9166666666666,5192.583333333333,0.05920378831283586,0.9865666656469116,0.5359543324477842,48.04378147535431,AVERAGE
HINDUNILVR,625.0,42523.61538461538,108.07692307692308,33222.307692307695,9301.307692307691,21.23076923076923,651.3846153846154,737.4615384615385,9107.307692307691,27.083333333333332,6686.7692307692305,29.53846153846154,87.58333333333333,15.343146086484357,712.0,223.30769230769232,22557.923076923078,466.46153846153845,15136.538461538461,38384.307692307695,22597.076923076922,649.9230769230769,3030.6153846153848,12106.538461538461,38384.307692307695,0.01692129741031845,590.5,6935.333333333333,-933.5833333333334,-6011.833333333333,-10.25,6001.75,0.0782199374360612,0.9997976968079083,0.5451116084269573,49.47607665448841,AVERAGE
ICICIBANK,638.0,87249.69230769231,44010.230769230766,72814.61538461539,-29575.30769230769,-39.23076923076923,57542.53846153846,1004.3076923076923,26962.69230769231,25.333333333333332,20299.23076923077,27.846153846153847,16.333333333333332,21.568470432419442,724.5,1270.1666666666667,130960.33333333333,927452.9166666666,235526.16666666666,1295209.4166666667,9394.666666666666,0.0,431023.1666666667,854791.6666666666,1295209.4166666667,7.113696999986769,602.5,48793.75,-41641.0,3028.0833333333335,10181.0,7152.75,0.0881721446115654,0.9149519344897977,0.5581373855458387,47.7195653855317,AVERAGE
ICICIGI,651.0,11199.538461538461,12.153846153846153,10082.153846153846,1117.6923076923076,7.230769230769231,452.84615384615387,69.61538461538461,1488.8461538461538,21.25,1129.3846153846155,23.923076923076923,19.833333333333332,10.340543264438672,737.0,462.6923076923077,5954.923076923077,211.53846153846155,28586.46153846154,35215.61538461538,722.9230769230769,20.615384615384617,25456.384615384617,9015.692307692309,35215.61538461538,0.038291972258577174,614.5,1641.5833333333333,-1397.4166666666667,-228.41666666666666,15.666666666666666,244.16666666666666,0.07022245217502901,0.9995421989205938,0.47995348745094824,47.19376867814742,AVERAGE
ICICIPRULI,664.0,46265.692307692305,8.0,45979.230769230766,286.6923076923077,2.0,1185.6153846153845,51.69230769230769,1412.923076923077,12.083333333333334,1248.1538461538462,8.76923076923077,38.333333333333336,3.843261920672158,750.0,1435.5384615384614,6020.7692307692305,448.38461538461536,168287.53846153847,176284.46153846153,464.9230769230769,25.0,171450.46153846153,4343.7692307692305,176284.46153846153,0.05261952604250482,626.5,2570.5,-1523.75,-563.0833333333334,483.5833333333333,1046.75,0.05983547690796121,0.9993709053256011,0.48903626036087783,47.04563404691282,AVERAGE
INDIGO,1368.0,30510.53846153846,1269.923076923077,26292.0,4218.692307692308,10.846153846153847,1133.923076923077,2767.3846153846152,991.7692307692307,1.6666666666666667,1215.076923076923,6445.307692307692,38.916666666666664,2.219071590600798,763.0,27.50769230769231,320.9230769230769,28.923076923076923,153.0,530.1538461538462,189.30769230769232,30.307692307692307,70.61538461538461,239.76923076923077,530.1538461538462,0.6274125331532372,638.5,5079.5,-2700.6666666666665,-2342.9166666666665,35.916666666666664,2378.8333333333335,0.057238940927008604,0.9924989464378877,0.5041113434223693,47.187866332888056,AVERAGE
INDUSINDBK,703.0,23882.615384615383,13444.923076923076,10081.538461538461,356.0769230769231,1.6923076923076923,5506.615384615385,214.53846153846155,5648.384615384615,30.416666666666668,4050.076923076923,58.23076923076923,12.333333333333334,17.089880148592542,775.5,647.5,29300.416666666668,221825.83333333334,9714.0,261487.91666666666,1455.5,64.25,52873.583333333336,207094.41666666666,261487.91666666666,7.686689663097972,650.5,-377.8333333333333,-261.1666666666667,3244.0,2605.25,-639.0,0.08101237977329649,0.9081014996808316,0.46995875925040487,44.582302958868944,AVERAGE
INFY,716.0,92404.23076923077,68878.61538461539,23525.615384615383,26.153846153846153,3128.5384615384614,136.07692307692307,2591.0,23927.076923076922,26.5,17537.615384615383,40.61538461538461,50.09090909090909,19.87940983243869,788.0,1480.4615384615386,65057.53846153846,3145.6923076923076,23371.46153846154,93055.15384615384,18966.923076923078,890.3076923076923,11944.0,61253.92307692308,93055.15384615384,0.03964764843649459,662.5,15579.833333333334,-3040.5833333333335,-13023.0,-483.75,12539.25,0.08547190281067577,0.9995259910843042,0.61909598541626,51.97753540744395,AVERAGE
IOC,729.0,528256.3846153846,496120.6923076923,32135.69230769231,6.3076923076923075,4006.6923076923076,5555.538461538462,9623.076923076924,20963.69230769231,19.333333333333332,15350.076923076924,10.538461538461538,4.416666666666667,3.045960488404651,801.0,7839.384615384615,104735.69230769231,104398.69230769231,122207.0,339180.6153846154,133234.6923076923,37782.53846153846,41050.38461538462,127113.0,339180.6153846154,0.9655921404316063,674.5,29884.583333333332,-20159.083333333332,-9632.916666666666,92.75,9725.5,0.05856085913797568,0.9884558277340578,0.587252996390845,49.613699089266106,AVERAGE
IRCTC,741.0,2224.3636363636365,1558.4545454545455,665.9090909090909,26.727272727272727,111.36363636363636,8.0,38.0,731.1818181818181,32.0,523.2727272727273,10.545454545454545,44.3,21.461523777407127,813.0,112.72727272727273,1493.6363636363637,33.63636363636363,1777.909090909091,3417.818181818182,254.0909090909091,100.36363636363636,1.3636363636363635,3062.090909090909,3417.818181818182,0.015891253503146564,685.5,409.3,-147.7,-184.3,77.0,261.6,0.0880011727539939,0.9998100115356365,0.4801507791229197,47.91887062991644,AVERAGE
